NAME,GEOID,SOCIOECON_18,HSECOMP_18,MINLANG_18,HSETRANS_18,OVERALL_18
"Census Tract 9598, Las Mar�as Municipio, Puerto Rico",72083959800,0.5322,0.5005,0.9988,0.4405,0.7089
"Census Tract 9506, Vieques Municipio, Puerto Rico",72147950600,0.5719,0.2027,0.2797,0.7451,0.3907
"Census Tract 1809.02, Humacao Municipio, Puerto Rico",72069180902,0.0441,0.24,0.0294,0.453,0.0577
"Census Tract 1701, Naguabo Municipio, Puerto Rico",72103170100,0.5198,0.0385,0.5956,0.3703,0.2751
"Census Tract 1602.02, Ceiba Municipio, Puerto Rico",72037160202,0.3941,0.0113,0.3137,0.3544,0.1257
"Census Tract 9597, Las Mar�as Municipio, Puerto Rico",72083959700,0.7451,0.0679,0.6885,0.1336,0.3137
"Census Tract 8402, San Germ�n Municipio, Puerto Rico",72125840200,0.5639,0.0453,0.8935,0.5617,0.5232
"Census Tract 1803.01, Humacao Municipio, Puerto Rico",72069180301,0.2197,0.2151,0.8335,0.436,0.3442
"Census Tract 1808, Humacao Municipio, Puerto Rico",72069180800,0.5775,0.1211,0.8844,0.1936,0.3771
"Census Tract 5.06, San Juan Municipio, Puerto Rico",72127000506,0.0543,0.0056,0.0045,0.8516,0.0906
"Census Tract 1803.02, Humacao Municipio, Puerto Rico",72069180302,0.3046,0.0939,0.3431,0.4269,0.1551
"Census Tract 9506, Yabucoa Municipio, Puerto Rico",72151950600,0.6228,0.3386,0.7327,0.1687,0.4314
"Census Tract 1704, Naguabo Municipio, Puerto Rico",72103170400,0.342,0.4903,0.7214,0.7327,0.6364
"Census Tract 100.02, San Juan Municipio, Puerto Rico",72127010002,0,0.0124,0.1483,0.3023,0.0237
"Census Tract 2903, Patillas Municipio, Puerto Rico",72109290300,0.5311,0.1472,0.7916,0.2763,0.368
"Census Tract 9505, Culebra Municipio, Puerto Rico",72049950500,0.3204,0.1868,0.0781,0.966,0.2831
"Census Tract 1602.01, Ceiba Municipio, Puerto Rico",72037160201,0.5164,0.4711,0.2718,0.8856,0.5685
"Census Tract 4, San Juan Municipio, Puerto Rico",72127000400,0.4484,0.0215,0.0747,0.8482,0.2174
"Census Tract 9602, Maricao Municipio, Puerto Rico",72093960200,0.667,0.1155,0.8097,0.9841,0.7542
"Census Tract 9516, Maunabo Municipio, Puerto Rico",72095951600,0.6693,0.3046,0.8357,0.325,0.5628
"Census Tract 3101, Hatillo Municipio, Puerto Rico",72065310100,0.3386,0.368,0.5583,0.1528,0.2265
"Census Tract 3103, Hatillo Municipio, Puerto Rico",72065310300,0.3171,0.06,0.5775,0.0056,0.0996
"Census Tract 1805, Humacao Municipio, Puerto Rico",72069180500,0.137,0.2684,0.6002,0.4224,0.231
"Census Tract 1802.01, Humacao Municipio, Puerto Rico",72069180201,0.522,0.5107,0.9229,0.7791,0.812
"Census Tract 9601, Maricao Municipio, Puerto Rico",72093960100,0.8187,0.1857,0.9943,0.3442,0.6647
"Census Tract 604.04, Trujillo Alto Municipio, Puerto Rico",72139060404,0.0067,0.1075,0.0249,0.0464,0.0033
"Census Tract 3102, Hatillo Municipio, Puerto Rico",72065310200,0.4043,0.1041,0.5753,0.4756,0.2887
"Census Tract 3104, Hatillo Municipio, Puerto Rico",72065310400,0.4428,0.0554,0.573,0.137,0.171
"Census Tract 11, San Juan Municipio, Puerto Rico",72127001100,0.0317,0.0351,0,0.7701,0.0702
"Census Tract 8305.03, Cabo Rojo Municipio, Puerto Rico",72023830503,0.351,0.4314,0.2174,0.4099,0.2242
"Census Tract 1903.02, Las Piedras Municipio, Puerto Rico",72085190302,0.6896,0.0373,0.9909,0.2389,0.4733
"Census Tract 8405, San Germ�n Municipio, Puerto Rico",72125840500,0.274,0.4462,0.0928,0.8878,0.342
"Census Tract 1901.01, Las Piedras Municipio, Puerto Rico",72085190101,0.6375,0.0804,0.7281,0.402,0.4224
"Census Tract 3105, Hatillo Municipio, Puerto Rico",72065310500,0.3884,0.0486,0.6058,0.3567,0.2197
"Census Tract 9505, Vieques Municipio, Puerto Rico",72147950500,0.2219,0.0826,0.0486,0.2797,0.0407
"Census Tract 1809.01, Humacao Municipio, Puerto Rico",72069180901,0.6817,0.0634,0.6115,0.3839,0.3635
"Census Tract 9599, Las Mar�as Municipio, Puerto Rico",72083959900,0.556,0.1109,0.9513,0.7836,0.6828
"Census Tract 10, San Juan Municipio, Puerto Rico",72127001000,0.0373,0.0249,0.0033,0.1245,0.0045
"Census Tract 1005.03, Can�vanas Municipio, Puerto Rico",72029100503,0.0939,0.3759,0.2457,0.1506,0.0815
"Census Tract 82.02, San Juan Municipio, Puerto Rico",72127008202,0.445,0.1879,0.0441,0.5062,0.1642
"Census Tract 2704, Guayama Municipio, Puerto Rico",72057270400,0.5073,0.6138,0.5198,0.4903,0.556
"Census Tract 1804, Humacao Municipio, Puerto Rico",72069180400,0.1755,0.1245,0.6761,0.0566,0.1143
"Census Tract 501.03, Carolina Municipio, Puerto Rico",72031050103,0.0056,0.0011,0.0101,0.3759,0.0203
"Census Tract 1005.04, Can�vanas Municipio, Puerto Rico",72029100504,0.1472,0.2038,0.3624,0.1472,0.0781
"Census Tract 9515, Maunabo Municipio, Puerto Rico",72095951500,0.9037,0.2106,0.9966,0.2208,0.6625
"Census Tract 21, San Juan Municipio, Puerto Rico",72127002100,0.6783,0.0192,0.1234,0.787,0.3046
"Census Tract 5404, Dorado Municipio, Puerto Rico",72051540400,0.2457,0.3182,0.0181,0.5005,0.1325
"Census Tract 5105.04, Toa Alta Municipio, Puerto Rico",72135510504,0.0158,0.3114,0.0939,0.2955,0.0509
"Census Tract 8406, San Germ�n Municipio, Puerto Rico",72125840600,0.4609,0.1053,0.3725,0.3782,0.1981
"Census Tract 20.02, San Juan Municipio, Puerto Rico",72127002002,0.1891,0.0101,0.086,0.5696,0.077
"Census Tract 1214, Toa Baja Municipio, Puerto Rico",72137121400,0.0475,0.2185,0.0317,0.0758,0.0181
"Census Tract 9512, Yabucoa Municipio, Puerto Rico",72151951200,0.8799,0.4122,0.9252,0.0373,0.6194
"Census Tract 8403, San Germ�n Municipio, Puerto Rico",72125840300,0.4518,0.1347,0.5254,0.4813,0.3001
"Census Tract 2902, Patillas Municipio, Puerto Rico",72109290200,0.5809,0.0951,0.9558,0.2049,0.411
"Census Tract 9584, Lares Municipio, Puerto Rico",72081958400,0.9852,0.0928,1,0.4801,0.7451
"Census Tract 502.21, Carolina Municipio, Puerto Rico",72031050221,0.1087,0.2729,0.2831,0.3748,0.1166
"Census Tract 1902.02, Las Piedras Municipio, Puerto Rico",72085190202,0.2684,0.334,0.7848,0.7225,0.539
"Census Tract 43.06, San Juan Municipio, Puerto Rico",72127004306,0.9229,0.5469,0.9161,0.7904,0.9433
"Census Tract 1008, Can�vanas Municipio, Puerto Rico",72029100800,0.5956,0.1608,0.6194,0.0453,0.2276
"Census Tract 9513, Yabucoa Municipio, Puerto Rico",72151951300,0.6964,0.1359,0.7429,0.2434,0.402
"Census Tract 5105.03, Toa Alta Municipio, Puerto Rico",72135510503,0.0656,0.3374,0.1313,0.6602,0.1653
"Census Tract 5101.01, Toa Alta Municipio, Puerto Rico",72135510101,0.0577,0.0747,0.2151,0.6443,0.1041
"Census Tract 3106, Hatillo Municipio, Puerto Rico",72065310600,0.5707,0.1007,0.7848,0.1551,0.308
"Census Tract 1703, Naguabo Municipio, Puerto Rico",72103170300,0.3759,0.086,0.7882,0.7055,0.4711
"Census Tract 602.13, Trujillo Alto Municipio, Puerto Rico",72139060213,0.0532,0.0362,0.2593,0.009,0.0113
"Census Tract 13.02, San Juan Municipio, Puerto Rico",72127001302,0.9739,0.556,0.9343,0.8652,0.9682
"Census Tract 7308, Pe�uelas Municipio, Puerto Rico",72111730800,0.3873,0.1619,0.6432,0.2842,0.2502
"Census Tract 8401, San Germ�n Municipio, Puerto Rico",72125840100,0.7112,0.0758,0.5741,0.0894,0.24
"Census Tract 1807, Humacao Municipio, Puerto Rico",72069180700,0.7734,0.4484,0.5821,0.7395,0.7383
"Census Tract 730.09, Ponce Municipio, Puerto Rico",72113073009,0.4858,0.2842,0.9456,0.7429,0.7032
"Census Tract 1304.01, R�o Grande Municipio, Puerto Rico",72119130401,0.2106,0.3737,0.3137,0.2061,0.1404
"Census Tract 730.10, Ponce Municipio, Puerto Rico",72113073010,0.1132,0.0033,0.3646,0.5175,0.1053
"Census Tract 105, San Juan Municipio, Puerto Rico",72127010500,0.0464,0.0067,0.0973,0.2989,0.0226
"Census Tract 1901.02, Las Piedras Municipio, Puerto Rico",72085190102,0.214,0.3261,0.539,0.0283,0.1415
"Census Tract 5102, Toa Alta Municipio, Puerto Rico",72135510200,0.1925,0.1551,0.2989,0.5266,0.1585
"Census Tract 2204.01, San Lorenzo Municipio, Puerto Rico",72129220401,0.2015,0.1642,0.6138,0.522,0.265
"Census Tract 66, San Juan Municipio, Puerto Rico",72127006600,0.6024,0.0045,0.0305,0.864,0.2627
"Census Tract 9, San Juan Municipio, Puerto Rico",72127000900,0.0022,0.0566,0.0011,0.2695,0.009
"Census Tract 96.14, San Juan Municipio, Puerto Rico",72127009614,0.0237,0.0894,0.1517,0.0702,0.0101
"Census Tract 19, San Juan Municipio, Puerto Rico",72127001900,0.0339,0.0498,0.0113,0.4858,0.0362
"Census Tract 729, Ponce Municipio, Puerto Rico",72113072900,0.0894,0.1279,0.3318,0.5368,0.1347
"Census Tract 2904, Patillas Municipio, Puerto Rico",72109290400,0.8573,0.171,0.6817,0.607,0.6523
"Census Tract 1506.02, Fajardo Municipio, Puerto Rico",72053150602,0.3001,0.2208,0.0883,0.6874,0.1902
"Census Tract 1903.01, Las Piedras Municipio, Puerto Rico",72085190301,0.3329,0.1845,0.8708,0.1223,0.2695
"Census Tract 7402, Guayanilla Municipio, Puerto Rico",72059740200,0.4677,0.4745,0.4065,0.4144,0.3714
"Census Tract 35.01, San Juan Municipio, Puerto Rico",72127003501,0.9354,0.5662,0.9093,0.7599,0.9411
"Census Tract 730.03, Ponce Municipio, Puerto Rico",72113073003,0.5889,0.5922,0.8776,0.4122,0.7066
"Census Tract 727.03, Ponce Municipio, Puerto Rico",72113072703,0.2604,0.0702,0.265,0.5277,0.1438
"Census Tract 1702, Naguabo Municipio, Puerto Rico",72103170200,0.5016,0.052,0.8754,0.2106,0.3182
"Census Tract 712, Ponce Municipio, Puerto Rico",72113071200,0.6613,0.3522,0.2593,0.8505,0.5503
"Census Tract 54.03, San Juan Municipio, Puerto Rico",72127005403,0.3918,0.5028,0.1121,0.4903,0.2593
"Census Tract 1801, Humacao Municipio, Puerto Rico",72069180100,0.5651,0.0419,0.6636,0.7021,0.4813
"Census Tract 8305.02, Cabo Rojo Municipio, Puerto Rico",72023830502,0.8935,0.1234,0.4699,0.8924,0.6749
"Census Tract 8303, Cabo Rojo Municipio, Puerto Rico",72023830300,0.1959,0.2604,0.368,0.6817,0.2672
"Census Tract 501.11, Carolina Municipio, Puerto Rico",72031050111,0.0351,0.0543,0.0147,0.1913,0.0056
"Census Tract 713, Ponce Municipio, Puerto Rico",72113071300,0.9275,0.6636,0.9422,0.9943,0.9909
"Census Tract 601.04, Trujillo Alto Municipio, Puerto Rico",72139060104,0.026,0.0883,0.2129,0.5198,0.0736
"Census Tract 5407, Dorado Municipio, Puerto Rico",72051540700,0.5753,0.137,0.8561,0.1075,0.334
"Census Tract 730.02, Ponce Municipio, Puerto Rico",72113073002,0.6194,0.0872,0.6862,0.5141,0.4518
"Census Tract 2201, San Lorenzo Municipio, Puerto Rico",72129220100,0.1143,0.1744,0.5549,0.6183,0.2446
"Census Tract 1802.02, Humacao Municipio, Puerto Rico",72069180202,0.5243,0.4971,0.9728,0.6387,0.7734
"Census Tract 8306.04, Cabo Rojo Municipio, Puerto Rico",72023830604,0.5118,0.0317,0.53,0.9705,0.5152
"Census Tract 96.24, San Juan Municipio, Puerto Rico",72127009624,0.1619,0.4088,0.1302,0.4767,0.1619
"Census Tract 8404, San Germ�n Municipio, Puerto Rico",72125840400,0.3522,0.8448,0.2921,0.4258,0.4575
"Census Tract 100.01, San Juan Municipio, Puerto Rico",72127010001,0.0747,0.1789,0.0237,0.4235,0.0486
"Census Tract 54.02, San Juan Municipio, Puerto Rico",72127005402,0.9297,0.5911,0.9762,0.7746,0.9592
"Census Tract 5705, Manat� Municipio, Puerto Rico",72091570500,0.1166,0.479,0.3612,0.3816,0.2015
"Census Tract 9582, Lares Municipio, Puerto Rico",72081958200,0.6138,0.0283,0.9014,0.5832,0.5537
"Census Tract 7404, Guayanilla Municipio, Puerto Rico",72059740400,0.778,0.6591,0.7236,0.5039,0.7859
"Census Tract 702.02, Ponce Municipio, Puerto Rico",72113070202,0.7836,0.4824,0.4801,0.599,0.667
"Census Tract 9510, Yabucoa Municipio, Puerto Rico",72151951000,0.4779,0.077,0.8414,0.0973,0.2559
"Census Tract 730.04, Ponce Municipio, Puerto Rico",72113073004,0.1845,0.2468,0.5719,0.8006,0.3918
"Census Tract 9514, Maunabo Municipio, Puerto Rico",72095951400,0.7429,0.0668,0.6319,0.7463,0.5866
"Census Tract 2003.03, Caguas Municipio, Puerto Rico",72025200303,0.0577,0.0509,0.18,0.0792,0.0158
"Census Tract 2901, Patillas Municipio, Puerto Rico",72109290100,0.7078,0.1415,0.8844,0.1064,0.4156
"Census Tract 602.22, Trujillo Alto Municipio, Puerto Rico",72139060222,0.0668,0.0645,0.2434,0.6036,0.1019
"Census Tract 1603, Ceiba Municipio, Puerto Rico",72037160300,0.3035,0.7112,0.4597,0.958,0.6942
"Census Tract 39.02, San Juan Municipio, Puerto Rico",72127003902,0.6557,0.5266,0.4541,0.6432,0.6296
"Census Tract 705.03, Ponce Municipio, Puerto Rico",72113070503,0.0781,0.2627,0.1189,0.3182,0.06
"Census Tract 98, San Juan Municipio, Puerto Rico",72127009800,0.0215,0.043,0.0566,0.2582,0.0192
"Census Tract 5506.02, Vega Alta Municipio, Puerto Rico",72143550602,0.6455,0.5639,0.3759,0.7236,0.6455
"Census Tract 8304, Cabo Rojo Municipio, Puerto Rico",72023830400,0.5288,0.6342,0.4971,0.5549,0.5979
"Census Tract 100.12, San Juan Municipio, Puerto Rico",72127010012,0.1585,0.761,0.1279,0.8629,0.453
"Census Tract 5604.01, Vega Baja Municipio, Puerto Rico",72145560401,0.479,0.4847,0.1744,0.1494,0.1868
"Census Tract 7302, Pe�uelas Municipio, Puerto Rico",72111730200,0.4246,0.6013,0.7553,0.0543,0.4099
"Census Tract 727.04, Ponce Municipio, Puerto Rico",72113072704,0.8539,0.3318,0.9694,0.5028,0.7802
"Census Tract 9583, Lares Municipio, Puerto Rico",72081958300,0.9773,0.0464,0.7768,0.5537,0.6704
"Census Tract 4014.02, Aguadilla Municipio, Puerto Rico",72005401402,0.5719,0.3137,0.2627,0.2015,0.2038
"Census Tract 5702.02, Manat� Municipio, Puerto Rico",72091570202,0.3488,0.1132,0.4156,0.8403,0.351
"Census Tract 5402, Dorado Municipio, Puerto Rico",72051540200,0.2174,0.4303,0.0271,0.5356,0.1721
"Census Tract 9571, Utuado Municipio, Puerto Rico",72141957100,0.7667,0.0713,0.3556,0.2876,0.2514
"Census Tract 404.11, Guaynabo Municipio, Puerto Rico",72061040411,0.1007,0.6613,0.0385,0.5945,0.2185
"Census Tract 53, San Juan Municipio, Puerto Rico",72127005300,0.4224,0.4733,0.231,0.4824,0.3069
"Census Tract 71, San Juan Municipio, Puerto Rico",72127007100,0.2366,0.1778,0.3476,0.0917,0.0758
"Census Tract 9576, Utuado Municipio, Puerto Rico",72141957600,0.5911,0.2355,0.8992,0.6002,0.6602
"Census Tract 725, Ponce Municipio, Puerto Rico",72113072500,0.0872,0.3057,0.2763,0.0996,0.0588
"Census Tract 1301.02, R�o Grande Municipio, Puerto Rico",72119130102,0.1834,0.3352,0.1166,0.8686,0.2661
"Census Tract 7303, Pe�uelas Municipio, Puerto Rico",72111730300,0.6579,0.4122,0.8754,0.1778,0.5503
"Census Tract 8302, Cabo Rojo Municipio, Puerto Rico",72023830200,0.3352,0.0815,0.4847,0.7667,0.3295
"Census Tract 5501, Vega Alta Municipio, Puerto Rico",72143550100,0.2899,0.3148,0.103,0.8754,0.2955
"Census Tract 5904, Barceloneta Municipio, Puerto Rico",72017590400,0.5617,0.2434,0.4575,0.0317,0.1879
"Census Tract 301.04, Bayam�n Municipio, Puerto Rico",72021030104,0.009,0.0203,0.052,0.0906,0.0022
"Census Tract 8301.01, Cabo Rojo Municipio, Puerto Rico",72023830101,0.7395,0.2378,0.5968,0.3363,0.4552
"Census Tract 2105.03, Gurabo Municipio, Puerto Rico",72063210503,0.2921,0.0407,0.2502,0.0509,0.0419
"Census Tract 730.01, Ponce Municipio, Puerto Rico",72113073001,0.6092,0.351,0.7044,0.6534,0.6534
"Census Tract 1220.02, Toa Baja Municipio, Puerto Rico",72137122002,0.0577,0.1834,0.0804,0.7089,0.1132
"Census Tract 801, Mayag�ez Municipio, Puerto Rico",72097080100,0.6795,0.0237,0.4326,0.9739,0.539
"Census Tract 705.13, Ponce Municipio, Puerto Rico",72113070513,0.6908,0.5787,0.7395,0.9241,0.8833
"Census Tract 8106, A�asco Municipio, Puerto Rico",72011810600,0.3986,0.1087,0.2004,0.0407,0.0554
"Census Tract 3005, Arecibo Municipio, Puerto Rico",72013300500,0.966,0.5617,0.5039,0.7248,0.8221
"Census Tract 9509, Yabucoa Municipio, Puerto Rico",72151950900,0.812,0.3907,0.804,0.3148,0.6568
"Census Tract 3204.01, Camuy Municipio, Puerto Rico",72027320401,0.3839,0.0271,0.53,0.0011,0.0951
"Census Tract 7205.03, Villalba Municipio, Puerto Rico",72149720503,0.436,0.436,0.7021,0.2061,0.3782
"Census Tract 704, Ponce Municipio, Puerto Rico",72113070400,0.9592,0.6194,0.9569,0.9422,0.9852
"Census Tract 717, Ponce Municipio, Puerto Rico",72113071700,0.4235,0.1166,0.3125,0.9784,0.4077
"Census Tract 67, San Juan Municipio, Puerto Rico",72127006700,0.0419,0.0294,0.0588,0.4382,0.0317
"Census Tract 7109.02, Juana D�az Municipio, Puerto Rico",72075710902,0.3691,0.3748,0.3171,0.1189,0.163
"Census Tract 5105.05, Toa Alta Municipio, Puerto Rico",72135510505,0.0192,0.385,0.1211,0.0486,0.0328
"Census Tract 99.03, San Juan Municipio, Puerto Rico",72127009903,0.0283,0.2865,0.146,0.4745,0.0928
"Census Tract 602.12, Trujillo Alto Municipio, Puerto Rico",72139060212,0.2265,0.8595,0.445,0.6964,0.6036
"Census Tract 511.04, Carolina Municipio, Puerto Rico",72031051104,0.0147,0.4858,0.1687,0.4711,0.1472
"Census Tract 718, Ponce Municipio, Puerto Rico",72113071800,0.6387,0.7327,0.5424,0.9093,0.8505
"Census Tract 404.21, Guaynabo Municipio, Puerto Rico",72061040421,0.0622,0.1755,0.069,0.4337,0.0543
"Census Tract 806, Mayag�ez Municipio, Puerto Rico",72097080600,0.8992,0,0.2378,0.9263,0.522
"Census Tract 504.02, Carolina Municipio, Puerto Rico",72031050402,0.1857,0.7214,0.1325,0.983,0.5039
"Census Tract 99.04, San Juan Municipio, Puerto Rico",72127009904,0.0033,0.1506,0.0192,0.4994,0.0441
"Census Tract 16, San Juan Municipio, Puerto Rico",72127001600,0.009,0.026,0.0215,0.8527,0.0883
"Census Tract 705.14, Ponce Municipio, Puerto Rico",72113070514,0.3216,0.718,0.6579,0.146,0.4178
"Census Tract 1217.01, Toa Baja Municipio, Puerto Rico",72137121701,0.1676,0.5537,0.4994,0.3601,0.2933
"Census Tract 3202, Camuy Municipio, Puerto Rico",72027320200,0.3159,0.5016,0.3431,0.3046,0.2457
"Census Tract 5406, Dorado Municipio, Puerto Rico",72051540600,0.4711,0.3839,0.6398,0.9331,0.6919
"Census Tract 5401, Dorado Municipio, Puerto Rico",72051540100,0.4303,0.3816,0.8301,0.8301,0.71
"Census Tract 8407, San Germ�n Municipio, Puerto Rico",72125840700,0.4892,0.0973,0.4858,0.8029,0.436
"Census Tract 719, Ponce Municipio, Puerto Rico",72113071900,0.8788,0.6976,0.3827,0.8584,0.8482
"Census Tract 7401.02, Guayanilla Municipio, Puerto Rico",72059740102,0.5583,0.1676,0.8244,0.0305,0.2944
"Census Tract 91.12, San Juan Municipio, Puerto Rico",72127009112,0.4009,0.3714,0.3408,0.6908,0.3929
"Census Tract 5903, Barceloneta Municipio, Puerto Rico",72017590300,0.633,0.3329,0.6761,0.2355,0.4371
"Census Tract 74, San Juan Municipio, Puerto Rico",72127007400,0.334,0.2446,0.1506,0.1585,0.086
"Census Tract 3008, Arecibo Municipio, Puerto Rico",72013300800,0.7383,0.8086,0.1494,0.8233,0.7293
"Census Tract 815.01, Mayag�ez Municipio, Puerto Rico",72097081501,0.7859,0.0022,0.2219,0.8539,0.4326
"Census Tract 2205.02, San Lorenzo Municipio, Puerto Rico",72129220502,0.2344,0.1698,0.6058,0.0475,0.1234
"Census Tract 29, San Juan Municipio, Puerto Rico",72127002900,0.9026,0.4507,0.9694,0.8561,0.9445
"Census Tract 9569, Utuado Municipio, Puerto Rico",72141956900,0.855,0.2593,0.8063,0.0622,0.4869
"Census Tract 714.01, Ponce Municipio, Puerto Rico",72113071401,0.2989,0.4235,0.2548,0.7644,0.3657
"Census Tract 1202, Toa Baja Municipio, Puerto Rico",72137120200,0.1268,0.2616,0.2355,0.5911,0.1744
"Census Tract 9529, Salinas Municipio, Puerto Rico",72123952900,0.2797,0.5424,0.7089,0.9286,0.7044
"Census Tract 30, San Juan Municipio, Puerto Rico",72127003000,0.7214,0.2751,0.2468,0.5651,0.3963
"Census Tract 9567, Adjuntas Municipio, Puerto Rico",72001956700,0.8527,0.6432,0.1834,0.8663,0.7406
